,business_name,address,zipcode,business_type,website,city_name
0,Sweet Georgia's Juke Joint,"200 Peachtree Street, GA 30303",GA 30303,"Restaurant, Bar",https://www.sweetgeorgiasjukejoint.com/,Atlanta
1,"Dawson's Management, Inc","50 Hurt Plaza Ste 1436, GA 30303",GA 30303,Misc. Professional Services,https://www.dawsonsmanagement.com/,Atlanta
2,"Elite World Staffing & Training, LLC","135 Auburn Ave NE, GA 30303",GA 30303,Misc. Professional Services,https://ewstaffing.business.site/,Atlanta
3,Mangos Caribbean Restaurant,"180 Auburn Avenue Northeast, GA 30303",GA 30303,"Restaurant, Caribbean",https://www.mangoscaribbeanrestaurant.com/,Atlanta
4,Bqe Lounge,"262 Edgewood Avenue Northeast, GA 30303",GA 30303,"Restaurant, Soul Food",https://www.bqelounge.com/,Atlanta
5,Old Lady Gang,"177 Peters Street Southwest, GA 30313",GA 30313,"Restaurant, Soul Food",https://oldladygang.com/,Atlanta
6,Journey Unlimited,"191 Peachtree St NE None, GA 30303",GA 30303,Other,https://journeyunlimited.com/,Atlanta
7,Blue Scorpion Reputation Management,"191 Peachtree St 49th Floor, GA 30303",GA 30303,Marketing & PR,https://www.bluereputaion.today/,Atlanta
8,JAE Financial Group,"191 Peachtree St NE Ste 3975, GA 30303",GA 30303,Other,https://none/,Atlanta
9,Bryant Group Ventures,"191 Peachtree Street NE Suite 3840, GA 30313",GA 30313,Financial Services,https://www.bryantgroupventures.com/,Atlanta
10,"Georgia Team Builders, LLC","314 Auburn Avenue None, GA 30303",GA 30303,Entertainment & Media,https://atlantaroomescape.com/,Atlanta
11,Citizens Trust Bank,"230 Peachtree St, NW, GA 30303",GA 30303,Bank,https://ctbconnect.com/,Atlanta
12,Harold's Chicken & Bar,"349 Edgewood Avenue Southeast, GA 30312",GA 30312,"Restaurant, Fast Food",https://www.haroldschickenatl.com/,Atlanta
13,Allen Reid Enterprises,"234 Peachtree St Ne Suite 400, GA 30303",GA 30303,Misc. Professional Services,https://allenreidenterprises.com/,Atlanta
14,Fin & Feathers,"360 Edgewood Avenue Southeast, GA 30312",GA 30312,"Seafood, Bar, Dining, Restaurant, Soul Food",https://www.finandfeathersrestaurants.com/,Atlanta
15,Jutox Bar Castleberry Hill,"239 Walker Street Southwest, GA 30313",GA 30313,"Restaurant, Juice Bar",https://jutoxbarcastleberry.com/,Atlanta
16,"SeeJones Creative, LLC","318 Cherokee Avenue SE Suite #104, GA 30312",GA 30312,Business Services,https://www.seejoneswork.com/,Atlanta
17,Rosie's Coffee Café,"48 Northside Drive Southwest, GA 30313",GA 30313,"Restaurant, Coffee Shop, Cafe",https://www.rosiescoffeecafe.com/,Atlanta
18,"Tom, Dick & Hank","191 Ralph David Abernathy Boulevard Southwest, GA 30312",GA 30312,"Restaurant, Bbq",https://tomdickandhank.com/,Atlanta
19,Nowell Sparks LLC,"303 W Peachtree St NW #4340, GA 30308",GA 30308,Legal Services,https://none/,Atlanta
20,Slutty Vegan Atl,"476 Edgewood Avenue Southeast, GA 30312",GA 30312,"Restaurant, Vegan, Fast Food",https://sluttyveganatl.com/,Atlanta
21,Dumas Edwards LLC,"321 Pavillion St. SE None, GA 30315",GA 30315,Misc. Professional Services,https://dumasedwards.com/,Atlanta
22,Alonzo F. and Norris B. Herndon Foundation,"587 University Place NW None, GA 30314",GA 30314,Entertainment & Media,https://www.herndonhome.org/,Atlanta
23,Atlanta Breakfast Club,"249 Ivan Allen Junior Boulevard Northwest, GA 30313",GA 30313,"Restaurant, Casual",https://atlantabreakfastclub.com/,Atlanta
24,Slim & Husky’s Pizza Beeria,"581 Metropolitan Parkway Southwest, GA 30310",GA 30310,"Restaurant, Fast Casual",https://slimandhuskys.com/,Atlanta
25,"Pearls Of Esther, Inc","530 Piedmont Avenue NE Apt 507, GA 30308",GA 30308,Other,https://www.pearlsofesther.com/,Atlanta
26,The Dokter's Office Barbershop & Apprenticeship,"Magnolia St NW, GA 30314",GA 30314,Grooming,https://www.thefadedr.com/,Atlanta
27,Pivotal Performance Group,"384 Northyards Blvd NW None, GA 30313",GA 30313,Misc. Professional Services,https://pivotalperformance.net/,Atlanta
28,The ADS Agency,"384 Northyards Blvd Suite 190, GA 30313",GA 30313,Business Services,https://theadsagency.co/,Atlanta
29,"CMBC Wellness, LLC","384 Northyards Blvd Ste 100, #72, GA 30033",GA 30033,Healthcare,https://www.monicabey.com/,Atlanta
30,Atlanta Black Chambers,"384 Northyards Blvd NW Suite 100, GA 30313",GA 30313,Other,https://atlantablackchambers.org/,Atlanta
31,Essential Wealth Management,"384 Northyards Blvd. N.W. Bldg 100 #65, GA 30313",GA 30313,Financial Services,https://www.essentialwealthmanagement.com/,Atlanta
32,Just Add Honey Tea Company,"684 John Wesley Dobbs Avenue Northeast, GA 30312",GA 30312,"Restaurant, Coffee Shop, Cafe",https://justaddhoney.net/,Atlanta
33,The Busy Bee Café,"810 Martin Luther King Junior Drive Southwest, GA 30314",GA 30314,"Restaurant, Soul Food",https://www.thebusybeecafe.com/,Atlanta
34,Eat My Taco,"777 Oak Street Southwest, GA 30310",GA 30310,"Restaurant, Ethnic, Fast Casual",https://www.eatmytacoatl.com/,Atlanta
35,A Haute Cookie,"1039 Grant Street Southeast, GA 30315",GA 30315,"Restaurant, Bakery",https://www.ahautecookie.com/,Atlanta
36,Yaaas! Cookies,"880 Glenwood Avenue Southeast, GA 30316",GA 30316,"Restaurant, Bakery",https://yaaascookies.com/,Atlanta
37,Wadada Healthy Market & Juice Bar,"878 Ralph David Abernathy Boulevard, GA 30310",GA 30310,"Restaurant, Market, Vegan, Juice Bar",,Atlanta
38,Citizens Trust Bank,"965 MLK Jr Dr, NW, GA 30314",GA 30314,Bank,https://ctbconnect.com/,Atlanta
39,Experimac Midtown Atlanta,"800 Peachtree St. NE Unit D, GA 30308",GA 30308,Technology,https://experimac.com/midtown-atlanta-ga/,Atlanta
40,The Wellness Sanctuary,"828 Ralph Mcgill Blvd Ste 204, GA 30306",GA 30306,Health and Wellness,https://www.thewellnesssanctuaryinc.com/,Atlanta
41,Tassili's Raw Reality Café,"1059 Ralph David Abernathy Boulevard, GA 30310",GA 30310,"Restaurant, Event Space, Vegan, Healthy Food, Fast Casual",https://www.tassilisrawreality.com/,Atlanta
42,Qt Time Restaurant,"1120 Ralph David Abernathy Boulevard Southwest, GA 30310",GA 30310,"Restaurant, Soul Food",https://www.qtimerestaurant.com/,Atlanta
43,Hodgepodge Coffeehouse,"1 Moreland Avenue Southeast, GA 30317",GA 30317,"Caribbean, Bakery, Coffee Shop, Cafe, Restaurant",https://hodgepodgecoffee.com/,Atlanta
44,Bad Gyal Vegan,"1038 White Street Southwest, GA 30310",GA 30310,"Restaurant, Caribbean, Vegan, Catering",https://badgyalvegan.com/,Atlanta
45,Urban Grind,"962 Marietta Street NorthWest, GA 30318",GA 30318,"Restaurant, Bakery, Coffee Shop",https://urbangrindatlanta.com/,Atlanta
46,Triple Jay’s Pizza,"1020 Piedmont Avenue Northeast, GA 30309",GA 30309,"Restaurant, Fast Food",https://www.triplejayspizza.com/,Atlanta
47,EnrichHER,"1075 Peachtree ST NE None, GA 30309",GA 30309,Financial Services,https://ienrichher.com/,Atlanta
48,Hodgepodge Coffeehouse,"720 Moreland Avenue Southeast, GA 30316",GA 30316,"Caribbean, Bakery, Coffee Shop, Cafe, Restaurant",https://hodgepodgecoffee.com/,Atlanta
49,Sublime Donuts,"535 10th Street Northwest, GA 30318",GA 30318,"Restaurant, Bakery, Fast Food",https://www.sublimedoughnuts.com/,Atlanta
50,The Griffin Firm PLLC,"1100 Peachtree St. NE Suite 200, GA 30309",GA 30309,Business Services,https://thegriffinfirm-pllc.com/,Atlanta
51,Robinson Law Group,"1100 Peachtree St., Ste 200 None, GA 30309",GA 30309,Legal Services,https://www.rlgcounsel.com/,Atlanta
52,Pet Yard Indoor Dog Park,"1100 Peachtree St. None, GA 30309",GA 30309,Other,https://petyardindoordogpark.com/,Atlanta
53,Berkshire Hathaway HomeServices Georgia,"1163 W. Peachtree Street NE Suite 200, GA 30309",GA 30309,Real Estate,https://nkosileary.bhhsgeorgia.com/,Atlanta
54,Office Building Brokers,"1170 Peachtree Street Suite 1200, GA 30309",GA 30309,Real Estate,https://www.officebuildingbrokers.com/,Atlanta
55,Slim & Husky’s Pizza Beeria,"1016 Howell Mill Road, GA 30318",GA 30318,"Restaurant, Fast Casual",https://slimandhuskys.com/,Atlanta
56,Office Building Brokers,"1230 Peachtree St NE Suite 1900, GA 30309",GA 30309,Real Estate,https://www.officebuildingbrokers.com/,Atlanta
57,Slutty Vegan Atl,"1542 Ralph David Abernathy Boulevard Southwest, GA 30310",GA 30310,"Restaurant, Vegan, Fast Food",https://sluttyveganatl.com/,Atlanta
58,D Café & Catering,"1550 Ralph David Abernathy Boulevard, GA 30310",GA 30310,"Restaurant, Soul Food, Catering, Cafe",https://dcafeatl.com/,Atlanta
59,No Label Candle Company,"1314 Brewster St SW, GA 30310",GA 30310,Retail,https://nolabelcandlecompany.com/,Atlanta
60,Twisted Soul Cookhouse And Pours,"1133 Huff Road Northwest, GA 30318",GA 30318,"Restaurant, Dining",https://www.twistedsoulcookhouseandpours.com/,Atlanta
61,Spreading The Health,"1995 Metropolitan Parkway Southwest, GA 30315",GA 30315,"Restaurant, Juice Bar, Healthy Food",https://www.spreadingthehealthatl.com/,Atlanta
62,Geri Gonsalves Fitness LLC,"1745 Peachtree St NE, GA 30309",GA 30309,Other,https://www.geeigonsalvesfitness.com/,Atlanta
63,Anna's Bbq,"1976 Hosea L Williams Drive Northeast, GA 30317",GA 30317,"Restaurant, Bbq",https://www.annasbbqrestaurantatlanta.com/,Atlanta
64,Le Petit Marche,"1984 Hosea L Williams Drive Northeast, GA 30317",GA 30317,"Restaurant, Market, Casual",https://www.lepetitmarche.net/,Atlanta
65,Life Bistro,"2036 Sylvan Road Southwest, GA 30310",GA 30310,"Restaurant, Vegan, Juice Bar, Healthy Food",https://www.lifebistroatl.com/,Atlanta
66,"Alumni Cheerleaders, LLC","2870 Peachtree Road NW #283, GA 30305",GA 30305,Retail,https://www.alwayscheer.com/,Atlanta
67,Rosie's Coffee Café,"2330 Sylvan Road, GA 30344",GA 30344,"Restaurant, Coffee Shop, Cafe",https://www.rosiescoffeecafe.com/,Atlanta
68,The Man Cave Atlanta,"2139 Liddell Dr. None, GA 30324",GA 30324,Personal Care,https://www.mancaveatlanta.com/,Atlanta
69,Vi Capital Lending Group,"2150 Lenox Road Northeast None, GA 30324",GA 30324,Business Services,https://www.vicapitallending.com/,Atlanta
70,Yama Elegance,"Rollingwood Lane None, GA 30316",GA 30316,Retail,https://afrikanunity.com/,Atlanta
71,Everyday Sunday,"2000 Delowe Drive, GA 30311",GA 30311,"Restaurant, Soul Food",https://everydaysundayatl.com/,Atlanta
72,TWA Management Group Atlanta,"780 Morosgo Dr NE, GA 30324",GA 30324,Misc. Professional Services,https://www.twagroupatl.com/,Atlanta
73,"White Howard Brands, LLC","2282 Defoor Hills Rd NW, GA 30318",GA 30318,Misc. Professional Services,https://www.whitehowardbrands.com/,Atlanta
74,"White Howard Brands, LLC","2282 Defoor Hills Rd Suite 180, GA 30318",GA 30318,Other,https://whitehowardbrands.com/,Atlanta
75,EH Staffing,"160 Clairemont Avenue Suite 200, GA 30030",GA 30030,Healthcare,https://www.ehstaffing.com/,Atlanta
76,Alliance CPA Group,"160 Clairemont Ave Suite 455, GA 30030",GA 30030,Financial Services,https://www.alliancecpagroup.com/,Atlanta
77,The Bando,"3050 Martin Luther King Junior Drive Southwest, GA 30311",GA 30311,"Restaurant, Fast Food, Music",https://www.thebandoatl.com/,Atlanta
78,Ms. Icey's,"1371 Clairmont Road, GA 30033",GA 30033,"Restaurant, Soul Food, Bar",https://www.msiceys.com/,Atlanta
79,Bespokuture,"1596 W Cleveland Ave, GA 30344",GA 30344,Retail,https://www.bespokuture.com/,Atlanta
80,Mercedes-Benz of Buckhead,"2799 Piedmont Rd NE, GA 30305",GA 30305,Car Dealership,https://www.buckhead.mercedesdealer.com/,Atlanta
81,Citizens Trust Bank,"2840 East Point Street, GA 30344",GA 30344,Bank,https://ctbconnect.com/,Atlanta
82,Silver's Delights All Natural Juice And Caribbean Restaurant,"2879 East Point Street, GA 30344",GA 30344,"Restaurant, Caribbean, Catering, Juice Bar",https://www.silversdelight.com/,Atlanta
83,Sublime Donuts,"2566 Briarcliff Road Northeast, GA 30329",GA 30329,"Restaurant, Bakery, Fast Food",https://www.sublimedoughnuts.com/,Atlanta
84,Pit Boss Bbq,"856 Virginia Avenue, GA 30354",GA 30354,"Restaurant, Bbq",https://pitboss-bbq.com/,Atlanta
85,Gordon Branding Group,"3333 Piedmont Road NE 2050, GA 30305",GA 30305,Marketing & PR,https://www.gordonbrandinggroup.com/,Atlanta
86,Turning Point Leadership Group LLC,"3340 Peachtree Rd, Suite 1800 None, GA 30326",GA 30326,Business Services,https://www.turningpointlg.com/,Atlanta
87,Diaspora Kitchen,"3523 Memorial Drive, GA 30032",GA 30032,"Restaurant, Soul Food",https://www.diaspora-kitchenatl.com/,Atlanta
88,Alpha Healthcare Group,"100 Hartsfield Center Parkway Ste 500, GA 30354",GA 30354,Financial Services,https://www.upgrademypolicy.com/ccga3,Atlanta
89,Quality Personal Care,"3399 Peachtree Rd, NE 400, GA 30326",GA 30326,"Personal Care, Grooming",https://www.qpcare.com/,Atlanta
90,Twenty Twenty Visionary,"3365 Piedmont Rd #1400, GA 30339",GA 30339,Business Services,https://twentytwentyvisionary.com/,Atlanta
91,"20/20 Visionary Entertainment, LLC","3365 Piedmont Road Suite 1400, GA 30305",GA 30305,Marketing & PR,https://twentytwentyvisionary.com/,Atlanta
92,"3T Consulting Group, LLC","3379 Peachtree Road NE Suite 550, GA 30326",GA 30326,Misc. Professional Services,https://3teeco.com/,Atlanta
93,Citizens Trust Bank,"3705 Cascade Rd, GA 30331",GA 30331,Bank,https://ctbconnect.com/,Atlanta
94,The Scoop on Health & Wealth,"3455 Peachtree Road Suite 1000, GA 30308",GA 30308,Entertainment & Media,https://www.thescoophw.com/,Atlanta
95,Solutionary Consulting,"Three Alliance Center, 3550 Lenox Road NE Suite 1100, GA 30326",GA 30326,Business Services,https://capstonefinancialga.com/,Atlanta
96,Hattie Marie's,"3699 Main Street, GA 30337",GA 30337,"Restaurant, Bbq",https://www.hattiemariesbarbecue.com/,Atlanta
97,Ray's Southern Foods,"4150 Jonesboro Road, GA 30297",GA 30297,"Restaurant, Soul Food, Catering",https://www.rayssouthernfoods.com/,Atlanta
98,The Real Milk & Honey,"3719 Main Street, GA 30337",GA 30337,"Restaurant, Soul Food, Bar",https://www.therealmilkandhoney.com/,Atlanta
99,Virgil’s Gullah Kitchen,"3721 Main Street, GA 30337",GA 30337,"Restaurant, Soul Food",https://virgilsgullahkitchen.com/,Atlanta
100,"Veterans Psychological Group, Inc","3915 Cascade Rd None, GA 30331",GA 30331,Business Services,https://veteranspg.com/,Atlanta
101,Legacy Pointe Telecommunications,"3915 Cascade Rd None, GA 30331",GA 30331,Technology,https://www.legacypointetelecommunications.com/,Atlanta
102,Nouveau Bar & Grill,"3775 Main Street, GA 30337",GA 30337,"Restaurant, Bar",https://nouveaubar.com/,Atlanta
103,"Tom, Dick & Hank","3807 Main Street, GA 30337",GA 30337,"Restaurant, Bbq",https://tomdickandhank.com/,Atlanta
104,Tastebuddz Atl,"1749 Columbia Drive, GA 30032",GA 30032,"Restaurant, Caribbean",,Atlanta
105,Supreme Burger,"1827 Columbia Drive, GA 30032",GA 30032,"Restaurant, Fast Food",,Atlanta
106,AI era Benefits,"5800 Oakdale Rd SE None, GA 30126",GA 30126,Healthcare,https://emedhealthadviser.com/,Atlanta
107,Alpha Business Images,"4279 Roswell Road NE Suite 102, GA 30342",GA 30342,Marketing & PR,https://www.alphabusinessimages.com/,Atlanta
108,SERVPRO of Panthersville,"4153 Flat Shoals Pkwy Bldg B Ste 202, GA 30034",GA 30034,Business Services,https://www.servpropanthersville.com/,Atlanta
109,Bausy Books Consulting,"285 W Wieuca Rd NE 4138, GA 30342",GA 30342,Misc. Professional Services,https://www.bausybooks.com/,Atlanta
110,State Farm - The Shelby Green Agency,"91 W Wieuca Rd NE None, GA 30342",GA 30342,Business Services,https://none/,Atlanta
111,Underground App,"4530 West Village Ct None, GA 30080",GA 30080,Entertainment & Media,https://www.undergroundapp.com/,Atlanta
112,Old Lady Gang,"3650 Marketplace Boulevard, GA 30344",GA 30344,"Restaurant, Soul Food",https://oldladygang.com/,Atlanta
113,"Edge of the Frame, LLC","5812 Tree Fern Ct SE None, GA 30126",GA 30126,Entertainment & Media,https://www.edgeoftheframellc.com/,Atlanta
114,RH WARE LLC,"3645 Marketplace Blvd Ste 130-512, GA 30344",GA 30344,Financial Services,https://none/,Atlanta
115,The Graphics House,"2451 Cumberland Pkwy Suite 3952, GA 30339",GA 30339,Business Services,https://thegraphicshouse.biz/,Atlanta
116,UpStaff Solutions,"2566 Shallowford Rd NE,104-PMB 257 None, GA 30345",GA 30345,Business Services,https://www.upstaffsolutions.com/,Atlanta
117,Atlanta Business Technologies,"3350 Riverwood Parkway Ste. 1900, GA 30339",GA 30339,Technology,https://www.atlbustech.com/,Atlanta
118,Riverside EpiCenter,"135 Riverside Parkway None, GA 30168",GA 30168,Entertainment & Media,https://www.riversideepicenter.com/,Atlanta
119,Digital Reveries Media,"2997 Cobb Parkway SE Unit 725311, GA 31139",GA 31139,Entertainment & Media,https://www.digitalrevmedia.com/,Atlanta
120,Brooklyn Chop House,"150 Nassau Street, NY 10038",NY 10038,"Restaurant, Seafood, Dining",https://www.brooklynchophouse.com/,New York
121,Cheeky Sandwiches,"35 Orchard Street, NY 10002",NY 10002,"Restaurant, Fast Food",https://www.cheekysandwiches.com/,New York
122,Scarr's Pizza,"22 Orchard Street, NY 10002",NY 10002,"Restaurant, Fast Food",https://www.scarrspizza.com/,New York
123,Las' Lap,"74 Orchard Street, NY 10002",NY 10002,"Restaurant, Caribbean, Bar",https://www.laslapnewyork.com/,New York
124,Whipped Urban Dessert Lab,"95 Orchard Street, NY 10002",NY 10002,"Grocery, Retail",https://urbandessertlab/,New York
125,Sweet Chick,"178 Ludlow Street, NY 10002",NY 10002,"Soul Food, Fast Casual, Restaurant",https://www.sweetchick.com/,New York
126,Berber Street Food,"35 Carmine Street, NY 10014",NY 10014,"Restaurant, Ethnic, Catering, Cafe",https://berberstreetfood.com/,New York
127,Omar's Kitchen And Rum Bar,"29a Clinton Street, NY 10002",NY 10002,"Restaurant, Caribbean",https://www.omarskitchennyc.com/,New York
128,Mikey Likes It Ice Cream,"199 Avenue A, NY 10009",NY 10009,"Restaurant, Fast Food, Family Style Restaurant",https://mikeylikesiticecream.com/,New York
129,Haile,"182 Avenue B, NY 10009",NY 10009,"Restaurant, Ethiopian",https://hailecuisine.com/,New York
130,Teranga,"445 Albee Square West, NY 11201",NY 11201,"Restaurant, Ethnic, African",https://itsteranga.com/,New York
131,The Soul Spot,"302 Atlantic Avenue, NY 11201",NY 11201,"Restaurant, Soul Food, Caribbean",https://soulspotrestaurant.com/,New York
132,Grandchamps,"141 Flushing Avenue, NY 11205",NY 11205,"Restaurant, Caribbean",https://www.grandchamps.nyc/,New York
133,Food Sermon Kitchen,"141 Flushing Avenue, NY 11205",NY 11205,"Restaurant, Caribbean",https://www.thefoodsermon.com/,New York
134,Bk Lobster,"340 Bedford Avenue, NY 11249",NY 11249,"Restaurant, Seafood, Fast Casual",https://bklobster.com/,New York
135,Peaches Hothouse Fort Greene,"87 South Elliott Place, NY 11217",NY 11217,"Restaurant, Soul Food, Seafood",https://www.bcrestaurantgroup.com/,New York
136,Eat Real Halal,"1185 Broadway, NY 10001",NY 10001,"Ethnic, Restaurant",,New York
137,Bati Kitchen,"747 Fulton Street, NY 11217",NY 11217,"Restaurant, Ethiopian",https://www.batikitchen.com/,New York
138,Imani Kitchen + Bar,"271 Adelphi Street, NY 11205",NY 11205,"Restaurant, Caribbean",https://www.imaninyc.com/,New York
139,Heritage Wines,"237 Dekalb Avenue, NY 11205",NY 11205,"Grocery, Wine & Spirits",https://heritagewinesnyc.com/,New York
140,Wray’s Caribbean And Seafood Cuisine,"503 Myrtle Avenue, NY 11205",NY 11205,"Restaurant, Caribbean, Seafood",https://wraysrestaurant.com/,New York
141,The Armory,"67 4th Avenue, NY 11217",NY 11217,"Restaurant, Bar",,New York
142,Sweet Chick,"164 Bedford Avenue, NY 11249",NY 11249,"Soul Food, Fast Casual, Restaurant",https://www.sweetchick.com/,New York
143,Bk9,"62 5th Avenue, NY 11217",NY 11217,"Restaurant, Caribbean, Soul Food, Seafood",https://www.bk9.nyc/,New York
144,Bk Lobster,"572 Myrtle Avenue, NY 11205",NY 11205,"Restaurant, Seafood, Fast Casual",https://bklobster.com/,New York
145,"$NP Designs, LLC","1 Pennsylvania Plaza Ste 6338, NY 10119",NY 10119,Arts,https://www.delasnp.com/,New York
146,Chance 11 Bar And Grill,"895 Fulton Street, NY 11238",NY 11238,"Restaurant, Bar",https://chance11.com/,New York
147,Peaches Shrimp & Crab,"285 Grand Avenue, NY 11238",NY 11238,"Restaurant, Soul Food, Seafood",https://www.bcrestaurantgroup.com/,New York
148,Mac Shack,"901 Fulton Street, NY 11238",NY 11238,"Restaurant, Fast Food",https://www.macshackny.com/,New York
149,Rustik Tavern,"471 Dekalb Avenue, NY 11205",NY 11205,"Restaurant, Bar",https://rustiktavern.com/,New York
150,Sisters,"900 Fulton Street, NY 11238",NY 11238,"Restaurant, Bar, Cafe",https://www.sistersbklyn.com/,New York
151,333 Lounge,"333 Flatbush Avenue, NY 11217",NY 11217,"Restaurant, Caribbean, Bar, Lounge",https://www.333lounge.com/,New York
152,Le Succulent,"291 5th Avenue, NY 11215",NY 11215,"Restaurant, Ethnic, African",https://lesucculent.com/,New York
153,Taylor Made Jamaican Eatery,"393 Classon Avenue, NY 11238",NY 11238,"Restaurant, Caribbean",https://www.taylormadejamaicaneatery.com/,New York
154,Sweet Chick,"341 Flatbush Avenue, NY 11217",NY 11217,"Soul Food, Fast Casual, Restaurant",https://www.sweetchick.com/,New York
155,Bierwax,"556 Vanderbilt Avenue, NY 11238",NY 11238,"Restaurant, Bar",https://www.bierwaxnyc.com/,New York
156,Bed-stuy Fish Fry,"940 Fulton Street, NY 11238",NY 11238,"Restaurant, Soul Food, Seafood",https://bedstuyfishfry.com/,New York
157,Buka,"946 Fulton Street, NY 11238",NY 11238,"Restaurant, Nigerian",https://www.bukanewyork.com/,New York
158,Golden Krust,"105 East 42nd Street, NY 10017",NY 10017,"Caribbean, Restaurant",https://www.goldenkrust.com/,New York
159,Greenheart Consulting Partners LLC,"51 Putnam Ave , NY 11238",NY 11238,Misc. Professional Services,https://www.greenheartllc.com/,New York
160,Ode To Babel,"772 Dean Street, NY 11238",NY 11238,"Restaurant, Bar, Lounge",https://www.odetobabel.com/,New York
161,Shipwreck Seafood Boutique,"1047 Bedford Avenue, NY 11216",NY 11216,"Restaurant, Seafood",https://shipwreckseafoodbrooklyn.business.site/,New York
162,Ba'sik Brooklyn,"323 Graham Avenue, NY 11211",NY 11211,"Bar, Restaurant",https://www.basikbrooklyn.com/,New York
163,Divine Flavored Nigerian Food Truck,"828 2nd Avenue, NY 10017",NY 10017,"Restaurant, Catering, African, Nigerian",https://divineflavoredcatering.com/,New York
164,Nûrish,"637 Washington Avenue, NY 11238",NY 11238,"Restaurant, Vegan, Healthy Food, Cafe",https://www.nurishbk.com/,New York
165,Divine Flavored Catering,"992 Atlantic Avenue, NY 11238",NY 11238,"Restaurant, Catering, African, Nigerian",https://divineflavoredcatering.com/,New York
166,Natural Blend Cafe,"302 Nostrand Avenue, NY 11216",NY 11216,"Bakery, Juice Bar, Restaurant, Vegan, Healthy Food",https://naturalblendcafe.com/,New York
167,Sit & Wonder,"688 Washington Avenue, NY 11238",NY 11238,"Restaurant, Coffee Shop, Cafe",https://sitandwonder.net/index.html,New York
168,The Mixtape Shop Cafe,"1129 Bedford Avenue, NY 11216",NY 11216,"Restaurant, Cafe, Music, Casual",https://themixtapeshop.com/,New York
169,Joloff Restaurant,"1168 Bedford Avenue, NY 11216",NY 11216,"Restaurant, Ethnic, Catering, African",https://www.joloffjoloff.com/,New York
170,Cheryl's Global Soul,"236 Underhill Avenue, NY 11238",NY 11238,"Restaurant, Catering, Casual",https://www.cherylsglobalsoul.com/,New York
171,Sally's Bar & Restaurant,"151 Tompkins Avenue, NY 11206",NY 11206,"Restaurant, Caribbean, Bar",https://www.sallysbk.com/,New York
172,Bklyn Blend,"194 Tompkins Avenue, NY 11216",NY 11216,"Restaurant, Healthy Food, Juice Bar",https://www.bklynblend.com/,New York
173,Coffee Spot,"679 Classon Avenue, NY 11238",NY 11238,"Restaurant, Bakery, Coffee Shop",https://coffeespotbk.square.site/,New York
174,Natural Blend Cafe,"769 Washington Avenue, NY 11238",NY 11238,"Bakery, Juice Bar, Restaurant, Vegan, Healthy Food",https://naturalblendcafe.com/,New York
175,Sweet Chick,"46-42 Vernon Boulevard, NY 11101",NY 11101,"Soul Food, Fast Casual, Restaurant",https://www.sweetchick.com/,New York
176,Liquid Assets,"504 Nostrand Avenue, NY 11216",NY 11216,"Grocery, Wine & Spirits",https://liquidassetsbk.com/,New York
177,Brooklyn Baby Cakes,"506 Nostrand Avenue, NY 11216",NY 11216,"Restaurant, Bakery",https://brooklynbabycakes.com/,New York
178,Doctor's Cave Cafe,"856 Marcy Avenue, NY 11216",NY 11216,"Restaurant, Healthy Food, Juice Bar, Cafe",https://doctorscavecafe.com/,New York
179,The Bush Doctor Juice Bar,"307 Tompkins Avenue, NY 11216",NY 11216,"Restaurant, Juice Bar, Healthy Food",https://www.thebushdoctor.net/,New York
180,Brooklyn Tea,"524 Nostrand Avenue, NY 11216",NY 11216,"Restaurant, Coffee Shop",https://brooklyntea.com/,New York
181,Communitea,"11-18 46th Road, NY 11101",NY 11101,"Healthy Food, Coffee Shop, Restaurant",https://www.communitea.net/,New York
