,business_name,address,zipcode,business_type,website,city_name
267,Uptown Veg,"52 East 125th Street, NY 10035",NY 10035,"Restaurant, Bakery, Vegan, Juice Bar",https://uptownvegnyc.com/,New York
268,City National Bank of New Jersey,"382 West 125th St, NY 10027",NY 10027,Bank,https://www.citynatbank.com/,New York
269,Cove Lounge,"325 Malcolm X Boulevard, NY 10027",NY 10027,"Restaurant, Bar, Lounge",https://www.covelounge.com/,New York
270,Sylvia's,"328 Malcolm X Boulevard, NY 10027",NY 10027,"Restaurant, Soul Food",https://sylviasrestaurant.com/,New York
271,Http://www.bayounyc.com/,"1072 Bay Street, NY 10305",NY 10305,"Restaurant, Dining",https://www.bayounyc.com/,New York
272,Maison Harlem,"341 Saint Nicholas Avenue, NY 10027",NY 10027,"Restaurant, Catering, Seafood, Dining",https://www.maisonharlem.com/,New York
273,Lighthouse Fish Market,"2451 Frederick Douglass Boulevard, NY 10027",NY 10027,"Restaurant, Soul Food, Seafood",https://lighthousefishmarket.com/,New York
274,Neirs Tavern,"87-48 78th Street, NY 11421",NY 11421,"Bar, Restaurant",https://neirstavern.com/,New York
275,Renaissance Harlem,"2245 Adam Clayton Powell Junior Boulevard, NY 10027",NY 10027,"Restaurant, Catering, Dining",https://renaissance-harlem.com/,New York
276,Charles' Country Pan Fried Chicken,"2461 Frederick Douglass Boulevard, NY 10027",NY 10027,"Restaurant, Soul Food",,New York
277,Bricks And Hops,"65 Bruckner Boulevard, NY 10454",NY 10454,"Restaurant, Casual",https://www.bricksandhops.com/,New York
278,Beatstro,"135 Alexander Avenue, NY 10454",NY 10454,"Restaurant, Soul Food, Casual",https://www.beatstro.com/,New York
279,Yatenga French Bistro,"2269 Adam Clayton Powell Junior Boulevard, NY 10030",NY 10030,"Restaurant, Bar",https://www.yatengabistro.com/,New York
280,Harlem Hops,"2268 Adam Clayton Powell Junior Boulevard, NY 10030",NY 10030,"Restaurant, Bar",https://harlemhops.com/,New York
281,Honey Bee's Kitchen,"9322 Avenue L, NY 11236",NY 11236,"Restaurant, Ethnic, African, Nigerian",,New York
282,Mikey Likes It Ice Cream,"2500 Frederick Douglass Boulevard, NY 10030",NY 10030,"Restaurant, Fast Food, Family Style Restaurant",https://mikeylikesiticecream.com/,New York
283,Cafe Grill,"26-02 96th Street, NY 11369",NY 11369,"Cafe, Seafood, Fast Casual, Restaurant",https://cafegrillinc.com/,New York
